–; Kosovo;1,798,188;;;;;
148; Guinea-Bissau;1,646,077;;;;;
149; Equatorial Guinea;1,505,588;;;;;
150; Bahrain;1,501,635;;;;;
151; Trinidad and Tobago;1,367,558;;;;;
152; Estonia;1,331,796;;;;;
153; East Timor;1,317,780;;;;;
154; Mauritius;1,266,334;;;;;
155; Eswatini;1,202,000;;;;;
156; Djibouti;1,001,454;;;;;
157; Cyprus;918,1;;;;;
158; Fiji;898,402;;;;;
159; Bhutan;763,2;;;;;
160; Comoros;758,316;;;;;
161; Guyana;743,699;;;;;
162; Solomon Islands;728,041;;;;;
–; Macau (China);683,2;;;;;
163; Luxembourg;645,397;;;;;
164; Montenegro;617,683;;;;;
165; Suriname;598;;;;;
–; Western Sahara;576;;;;;
166; Cape Verde;563,198;;;;;
167; Malta;519,562;;;;;
168; Belize;441,471;;;;;
169; Brunei;429,999;;;;;
170; Bahamas;393,45;;;;;
171; Iceland;387,758;;;;;
172; Maldives;383,135;;;;;
–; Northern Cyprus;382,836;;;;;
–; Transnistria;360,938;;;;;
173; Vanuatu;301,295;;;;;
174; Barbados;282;;;;;
–; French Polynesia (France);279,89;;;;;
–; New Caledonia (France);273,674;;;;;
–; Abkhazia;245,424;;;;;
175; São Tomé and Príncipe;214,61;;;;;
176; Samoa;199,853;;;;;
177; Saint Lucia;178,696;;;;;
–; Guam (United States);153,836;;;;;
–; Curaçao (Netherlands);153,671;;;;;
–; Artsakh;148,9;;;;;
178; Grenada;125;;;;;
179; Kiribati;120,74;;;;;
–; Aruba (Netherlands);111,05;;;;;
180; Saint Vincent and the Grenadines;110,696;;;;;
–; Jersey (British Crown Dependency);107,8;;;;;
181; Micronesia;105,754;;;;;
182; Antigua and Barbuda;100,772;;;;;
183; Seychelles;100,447;;;;;
184; Tonga;100,179;;;;;
–; U.S. Virgin Islands (United States);87,146;;;;;
–; Isle of Man (British Crown Dependency);84,069;;;;;
185; Andorra;81,057;;;;;
186; Dominica;73;;;;;
–; Cayman Islands (United Kingdom);71,105;;;;;
–; Bermuda (United Kingdom);64,055;;;;;
–; Guernsey (British Crown Dependency);63,823;;;;;
–; Greenland (Denmark);56,609;;;;;
